GS_PCT,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,ALL_STAR,ALL_NBA
0.21,12.7,2.1,5.4,1.8,4.5,0.2,0.8,1.1,1.5,0.6,1.0,1.5,0.9,0.4,0.1,0.9,2.0,5.5,.386,.403,.291,.408,.728,0,0
0.28,16.4,2.4,5.6,2.3,5.2,0.1,0.3,1.2,1.6,0.4,0.9,1.3,2.8,0.4,0.1,1.3,1.5,6.2,.436,.447,.263,.444,.730,0,0
0.24,17.1,2.9,7.0,2.7,6.3,0.2,0.7,1.2,1.7,1.6,1.9,3.5,0.9,0.7,0.3,1.0,1.9,7.3,.417,.426,.340,.435,.664,0,0
0.34,18.0,2.4,5.1,2.4,5.1,0.0,0.0,1.4,2.0,1.5,2.8,4.3,0.4,0.4,0.5,1.0,2.4,6.2,.470,.471,.091,.470,.705,0,0
0.56,25.8,3.7,9.1,2.8,6.6,0.9,2.5,2.7,3.6,0.7,1.4,2.0,2.8,0.9,0.1,1.9,2.0,11.1,.410,.428,.362,.459,.749,0,0
0.04,13.4,1.7,3.5,1.7,3.4,0.0,0.0,0.8,1.4,0.9,1.8,2.6,0.6,0.4,0.4,0.8,2.0,4.2,.479,.481,.200,.480,.577,0,0
0.0,12.6,1.1,4.6,1.1,4.4,0.0,0.1,0.2,0.4,0.4,1.0,1.4,0.8,0.7,0.1,0.8,1.8,2.4,.244,.250,.000,.244,.500,0,0
0.45,24.2,4.2,9.2,3.4,7.1,0.8,2.0,1.4,1.8,1.5,3.9,5.4,1.3,0.6,0.4,1.3,2.8,10.6,.457,.478,.384,.500,.781,0,0
0.11,10.6,1.6,3.5,1.6,3.5,0.0,0.0,0.8,1.3,0.8,1.7,2.5,0.6,0.3,0.3,0.8,1.3,4.0,.449,.450,.000,.449,.648,0,0
0.01,8.2,0.9,1.9,0.9,1.9,0.0,0.0,0.3,0.6,0.6,1.1,1.7,0.2,0.2,0.7,0.4,1.7,2.2,.493,.500,.000,.493,.568,0,0
0.03,10.0,1.3,3.4,1.3,3.2,0.0,0.2,0.6,0.9,0.3,0.8,1.0,1.0,0.4,0.1,0.7,1.0,3.3,.388,.397,.227,.394,.705,0,0
0.92,35.3,6.5,14.0,5.7,11.3,0.8,2.7,2.4,3.4,1.0,2.9,3.9,6.7,1.8,0.2,2.3,2.4,16.3,.466,.501,.317,.496,.729,9,9
0.01,12.0,1.3,3.2,1.2,2.7,0.1,0.5,1.0,1.3,0.2,0.8,1.0,1.6,0.4,0.1,0.9,1.6,3.6,.399,.435,.186,.413,.790,0,0
0.12,13.5,1.7,4.5,1.2,3.0,0.6,1.5,0.5,0.7,0.7,1.2,1.9,0.9,0.6,0.0,0.7,1.2,4.5,.384,.390,.373,.447,.667,0,0
